movie_odid,display_name,billing,person_odid,person,character,type,role,person_name,DOB,DOB_source,Gender,Gender_source,race_final,race_source,race_scores_fair,wiki_race_tag,wiki_race_tag_clues,wiki_multi_race_tags,race_predicted,in_actorlist,in_directorlist,Race_present,DOB_present,Gender_present,total_people,dob_coverage,gender_coverage,race_coverage
10100,Titanic,1.0,39750401,Leonardo DiCaprio,Jack Dawson,Leading,,Leonardo DiCaprio,1974-11-11,TMDB,Male,TMDB,White,Wikipedia,"[0.55192643, 0.0022384, 0.41495505, 0.00148829, 0.00227992, 0.00864521, 0.01846675]",White,"['Italian', 'Russian', 'German']",['White'],White,True,True,True,True,True,4,1.0,1.0,1.0
10100,Titanic,1.0,23100401,James Cameron,,,Director,James Cameron,1954-08-16,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.99921048, 6.5270757e-07, 5.2835352e-05, 1.8818628e-06, 2.1546434e-06, 1.3123597e-05, 0.00071884936]",White,['Scottish'],,White,False,True,True,True,True,4,1.0,1.0,1.0
10100,Titanic,3.0,23100401,James Cameron,,,Screenwriter,James Cameron,1954-08-16,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.99921048, 6.5270757e-07, 5.2835352e-05, 1.8818628e-06, 2.1546434e-06, 1.3123597e-05, 0.00071884936]",White,['Scottish'],,White,False,True,True,True,True,4,1.0,1.0,1.0
10100,Titanic,2.0,840401,Kate Winslet,Rose DeWitt Bukater,Leading,,Kate Winslet,1975-10-05,TMDB,Female,TMDB,White,TMDB_Image_FairfaceModel,"[0.99987358, 3.0144246e-08, 3.236358e-05, 6.2563972e-06, 2.1830569e-06, 7.8955225e-07, 8.47708e-05]",White,"['Swedish', 'Irish', 'British']",['White'],White,True,False,True,True,True,4,1.0,1.0,1.0
20100,The Dark Knight,1.0,106410401,Christopher Nolan,,,Director,Christopher Nolan,1970-07-30,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.99587125, 1.6552224e-06, 0.00027007618, 5.1282505e-06, 5.2465657e-06, 2.6820368e-05, 0.0038199252]",White,"['British', 'Irish', 'American']",,White,False,True,True,True,True,5,1.0,1.0,1.0
20100,The Dark Knight,5.0,203250401,Jonathan Nolan,,,Screenwriter,Jonathan Nolan,1976-06-06,Wiki_document,Male,TMDB Image Prediction Model,White,TMDB_Image_FairfaceModel,"[0.99783677, 1.1441643e-05, 0.0012212418, 5.5455432e-05, 4.4975644e-05, 1.164746e-05, 0.00081852038]",,['American'],,White,False,True,True,True,True,5,1.0,1.0,1.0
20100,The Dark Knight,6.0,106410401,Christopher Nolan,,,Screenwriter,Christopher Nolan,1970-07-30,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.99587125, 1.6552224e-06, 0.00027007618, 5.1282505e-06, 5.2465657e-06, 2.6820368e-05, 0.0038199252]",White,"['British', 'Irish', 'American']",,White,False,True,True,True,True,5,1.0,1.0,1.0
20100,The Dark Knight,1.0,9490401,Christian Bale,Bruce Wayne,Leading,,Christian Bale,1974-01-30,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.984502852, 3.57317585e-05, 0.00819698535, 2.96246599e-05, 3.60699814e-05, 0.000110144756, 0.00708863931]",White,['English'],['White'],White,True,True,True,True,True,5,1.0,1.0,1.0
20100,The Dark Knight,3.0,83480401,Heath Ledger,Joker,Leading,,Heath Ledger,1979-04-04,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.93934041, 0.0029964328, 0.04560693, 0.00027824522, 0.00066249992, 0.00031609117, 0.010799348]",White,"['Scottish', 'English', 'Irish']",['White'],White,True,False,True,True,True,5,1.0,1.0,1.0
30100,Star Wars Ep. IV: A New Hope,3.0,88340401,George Lucas,,,Screenwriter,George Lucas,1944-05-14,TMDB,Male,TMDB,White,TMDB_Image_FairfaceModel,"[0.98062605, 2.831653e-05, 0.005350431, 0.00032026475, 0.00030391655, 0.0012699774, 0.012100947]",,,,White,False,True,True,True,True,6,0.8333333333333334,0.8333333333333334,0.8333333333333334
